supplier_id,supplier_name,supplier_city,supplier_address,supplier_postcode,supplier_email,supplier_contact
FGMS77JA658,Preston-Hudson,Enfield,"Flat 67d
Jackson overpass",N9 1ZJ,danielandrews@example.org,07395076033
ZLWC22KY455,Collins-Allan,Birmingham,"Studio 73v
Thomas center",B32 4FY,jasonpugh@example.net,07452353267
ESJL90MR042,Hunter Inc,Northampton,04 Bradley circles,NN4 5DD,houghtonclare@example.net,07592690290
BJFQ24XC173,Williams-Fletcher,South Northamptonshire,"Studio 39z
Sandra fields",NN12 6YL,jaynefoster@example.com,07622005800
DDRP46PK546,Bell-Hunt,Daventry,"Studio 19
Stanley islands",NN3 9PB,nicola00@example.com,07019922606
NBJK51XV717,"Smith, Parsons and O'Neill",Hounslow,"Flat 40H
Karl land",W4 1ZE,evansvanessa@example.org,07695325838
CZCG22XH961,"Day, Godfrey and Potts",Huntingdonshire,8 Kay flats,PE28 9AA,wsmith@example.org,07612695166
RQJO06PZ016,Little Inc,Surrey Heath,"Studio 44H
Smith key",GU16 9ZT,zhaynes@example.com,07376363769
HISY93FN615,"Lawrence, Martin and Martin",Liverpool,4 John mount,L20 5YP,hbrown@example.com,07144858099
QOYV35GD110,"Chandler, Hutchinson and Morris",Hampshire,"Studio 70Z
Robinson mount",PO15 5DE,xstewart@example.net,07734095618
ZGTE76DG430,Connolly-Jennings,Bournemouth,"Flat 1
Cameron courts",BH10 4ZE,joyce07@example.com,07026066617
DTPE76SM582,"Barnes, Sanders and Price",Oxford,37 Rachel points,OX3 0BE,ahmedolivia@example.org,07972257629
PUVG68RT757,Ward-Schofield,Renfrewshire,"Flat 2
Wendy forges",PA16 7NJ,sharpejoshua@example.com,07481552578
BQEI30TZ555,Day and Sons,Rugby,55 Dean heights,CV22 7HP,joyce38@example.net,07034295460
CZCQ26BC947,Goodwin-Hunt,Strabane,478 Wilkinson green,BT81 7YX,emma43@example.org,07486064635
YOKF32ZE040,Cross-Hayward,Exeter,"Flat 01
Kyle street",EX32 0FY,norman98@example.net,07221952069
QBSC75VZ868,"Mills, Wright and Francis",East Hampshire,"Flat 34
Paula passage",GU35 5ED,ben25@example.net,07671168822
