order_item_id,order_id,product_id,advertisement_id,order_item_quantity,order_item_unit_price
76022834,19819529,7823025,355119,4.0,15.49
63599446,69550589,3274757,169895,4.0,6.68
48370448,80769715,2778781,252835,3.0,12.08
51778815,31969925,8352909,957407,1.0,17.15
51658391,95919692,7554000,522764,5.0,11.6
72492834,77815448,6089661,275804,3.0,5.47
14163159,51326624,9406398,155707,4.0,30.49
31939921,86248271,4072304,764403,6.0,11.66
12084288,16862151,2778781,252835,3.0,12.08
8725152,23653029,7658490,910042,5.0,9.18
88804604,15276690,9474908,854323,4.0,13.17
6154317,42816022,9474908,854323,1.0,13.17
67905049,54679351,7658490,910042,3.0,9.18
36789641,97713916,8352909,957407,3.0,17.15
56307684,55920816,1734778,783838,4.0,3.98
56421063,65067820,9406398,155707,4.0,30.49
86547159,33508443,6089661,275804,4.0,5.47
48269369,49306897,1734778,783838,2.0,3.98
70951892,78248311,8764892,488059,3.0,41.42
78729430,92829712,5084719,932873,3.0,29.27
27790089,54115579,5084719,932873,4.0,29.27
64673957,90727697,4072304,764403,3.0,11.66
44290851,99195432,7554000,522764,5.0,11.6
75463090,92829712,8352909,957407,5.0,17.15
70605792,93013736,4168729,344375,2.0,41.29
24222498,67222441,7823025,355119,6.0,15.49
58479741,54679351,6089661,275804,4.0,5.47
81437778,63738965,7658490,910042,4.0,9.18
44799941,43016188,8352909,957407,5.0,17.15
68118039,41055205,8764892,488059,3.0,41.42
10464618,37425828,4375297,165586,4.0,12.9
74142189,93013736,4524428,445599,2.0,13.59
34196188,98881757,1734778,783838,5.0,3.98
80264694,53243155,5329248,697717,3.0,10.04
15430824,19819529,3226910,901714,3.0,19.96
86151360,22311993,1734778,783838,4.0,3.98
25990290,70790059,2778781,252835,1.0,12.08
82295102,40582794,3274757,169895,5.0,6.68
58025410,44126874,6089661,275804,2.0,5.47
61253398,67844399,9474908,854323,6.0,13.17
73812478,45255509,5724452,783899,6.0,18.57
52405643,93977657,7823025,355119,1.0,15.49
17787123,52742395,2778781,252835,1.0,12.08
57290812,80856775,5084719,932873,5.0,29.27
92302128,61696277,8764892,488059,4.0,41.42
49511894,95904830,8764892,488059,4.0,41.42
85065692,96710938,9474908,854323,3.0,13.17
73242366,16898483,3274757,169895,5.0,6.68
18054329,50441557,9474908,854323,3.0,13.17
37441641,83660315,8764892,488059,5.0,41.42
70469135,32826333,5724452,783899,7.0,18.57
62146775,47703666,8352909,957407,4.0,17.15
93491186,83660315,5329248,697717,6.0,10.04
87533333,67844399,9474908,854323,3.0,13.17
13517354,63766692,5724452,783899,5.0,18.57
54473978,50449982,5724452,783899,3.0,18.57
75360824,33654799,8764892,488059,4.0,41.42
99175746,19710422,3226910,901714,6.0,19.96
12109358,13175549,4524428,445599,1.0,13.59
96053706,22715459,8352909,957407,3.0,17.15
36200419,69379063,9406398,155707,4.0,30.49
6218204,21530177,8352909,957407,3.0,17.15
11984427,61696277,7658490,910042,3.0,9.18
49354635,21091613,5084719,932873,4.0,29.27
61308251,23653029,6089661,275804,4.0,5.47
59716424,92053234,8764892,488059,3.0,41.42
10021976,46371309,9474908,854323,4.0,13.17
91815882,68336930,9406398,155707,4.0,30.49
6944855,13433706,9474908,854323,2.0,13.17
26531357,78248311,4524428,445599,2.0,13.59
53986055,19710422,3226910,901714,4.0,19.96
96044295,91947937,5724452,783899,2.0,18.57
40152574,65067820,4168729,344375,4.0,41.29
91430175,16898483,5329248,697717,5.0,10.04
87486471,71619065,5724452,783899,6.0,18.57
80905678,33654799,7554000,522764,4.0,11.6
92146616,95904830,4375297,165586,5.0,12.9
1775136,14438674,4072304,764403,5.0,11.66
27519752,11409099,8014874,114716,4.0,4.26
89138768,28866974,3274757,169895,6.0,6.68
44072794,12109693,5084719,932873,1.0,29.27
42084548,44226575,5084719,932873,3.0,29.27
33704013,72525054,8352909,957407,3.0,17.15
79828293,17955791,5084719,932873,5.0,29.27
69462129,86248271,6089661,275804,6.0,5.47
45396843,65751989,4375297,165586,2.0,12.9
93273053,23653029,4524428,445599,2.0,13.59
51274151,42816022,7658490,910042,4.0,9.18
41501995,28984535,9474908,854323,6.0,13.17
89109798,81199148,8014874,114716,5.0,4.26
84158130,21091613,4524428,445599,5.0,13.59
55934508,19143784,4072304,764403,4.0,11.66
5945359,50872739,7823025,355119,3.0,15.49
13073850,72525054,4375297,165586,4.0,12.9
164504,28984535,5329248,697717,3.0,10.04
28505547,57102524,3226910,901714,2.0,19.96
3618912,39413671,4524428,445599,4.0,13.59
5984163,36268576,1734778,783838,3.0,3.98
68488266,46367252,4168729,344375,5.0,41.29
28875528,70051639,7554000,522764,4.0,11.6
25008475,49321991,7658490,910042,4.0,9.18
64635334,62177055,8352909,957407,3.0,17.15
70572744,67844399,7554000,522764,4.0,11.6
14019410,40582794,3274757,169895,4.0,6.68
30826541,63766692,3226910,901714,7.0,19.96
72829410,54115579,4524428,445599,3.0,13.59
26294271,66283305,6089661,275804,3.0,5.47
37822325,29336427,5329248,697717,3.0,10.04
77147791,84026325,5329248,697717,5.0,10.04
19628710,99195432,8352909,957407,3.0,17.15
27637044,43016188,5329248,697717,7.0,10.04
86849162,86071595,5084719,932873,4.0,29.27
66615666,44953245,3226910,901714,2.0,19.96
26097146,61194907,1734778,783838,7.0,3.98
42512133,52742395,4375297,165586,1.0,12.9
57719775,53240024,5084719,932873,3.0,29.27
2499923,40246380,2778781,252835,4.0,12.08
37927290,61352317,7554000,522764,4.0,11.6
90290995,61696277,7658490,910042,3.0,9.18
3040331,84026325,7658490,910042,5.0,9.18
61515241,64665076,1734778,783838,3.0,3.98
12714914,86933674,8352909,957407,3.0,17.15
37499574,57102524,9474908,854323,5.0,13.17
2102432,20508421,1734778,783838,5.0,3.98
15723257,53243155,5329248,697717,3.0,10.04
22617256,67200803,2778781,252835,3.0,12.08
24478564,19143784,9474908,854323,3.0,13.17
79517712,35277939,1734778,783838,5.0,3.98
62221403,61696277,2778781,252835,4.0,12.08
92875485,33121919,5329248,697717,4.0,10.04
97128535,46367252,5724452,783899,4.0,18.57
4761983,37049830,6089661,275804,3.0,5.47
8399796,80769715,5329248,697717,7.0,10.04
80971863,63766692,8014874,114716,3.0,4.26
67153673,17024035,1734778,783838,4.0,3.98
80848071,40676517,8764892,488059,2.0,41.42
70168717,67810995,8352909,957407,5.0,17.15
96963816,22470151,4524428,445599,4.0,13.59
89681860,17024035,4375297,165586,2.0,12.9
88258169,13175549,5724452,783899,5.0,18.57
51775914,26350738,7554000,522764,4.0,11.6
23263188,14064108,7658490,910042,6.0,9.18
73373482,33654799,5329248,697717,3.0,10.04
20000686,14064108,4072304,764403,5.0,11.66
24707018,13035939,8352909,957407,2.0,17.15
5272450,44126874,9474908,854323,3.0,13.17
26372495,53243155,3274757,169895,3.0,6.68
